experiment,variant,eval_scope,overall_manual_mean,type2_manual_mean,group_b_mean,group_c_mean,table15_mean,type4_success,dual_doc_coverage,comparison_evidence_coverage,table_plus_body_coverage,avg_latency_sec,degradation_count,status,key_note,source_path
phase2_baseline,baseline_v1,full45,4.4167,3.8750,,,,1.0000,0.7500,0.6923,,29.1200,,superseded,"metadata_t4off_half 기준선","C:\Users\UserK\Downloads\중급프로젝트\rag_outputs\phase2_runs\p2_baseline_v2_confirm_v1\baseline_v2_confirm_compare.csv"
phase2_baseline,baseline_v2,full45,4.4778,4.0250,,,,0.9000,0.8333,0.6923,,30.7200,,adopted,"comparison_helper_only 추가 후 Phase2 공식 기준선","C:\Users\UserK\Downloads\중급프로젝트\rag_outputs\phase2_runs\p2_baseline_v2_confirm_v1\baseline_v2_confirm_compare.csv"
ocr_single_upgrade,baseline_v1,table_group_subset,,,"",3.6000,3.7333,,,,,,reference,"OCR single upgrade 평가 기준","C:\Users\UserK\Downloads\중급프로젝트\rag_outputs\phase2_runs\p1_ocr_single_upgrade_v1\ocr_single_upgrade_summary.csv"
ocr_single_upgrade,ocr_pilot_v1,table_group_subset,,,"",3.5250,3.5500,,,,,,rejected,"table_15/group_bc 하락으로 full45 미실행","C:\Users\UserK\Downloads\중급프로젝트\rag_outputs\phase2_runs\p1_ocr_single_upgrade_v1\ocr_single_upgrade_summary.csv"
true_table_ocr,baseline_v2,table15,3.7500,,,4.0500,3.7500,1.0000,,,,32.8900,,reference,"OCR v4 비교 기준","C:\Users\UserK\Downloads\중급프로젝트\rag_outputs\phase2_runs\p2_true_table_ocr_v4_exact_v1\true_table_ocr_v4_exact_compare.csv"
true_table_ocr,true_table_ocr_v3,full45,4.3667,4.1250,3.1500,3.9000,3.5333,1.0000,,,,34.6800,,superseded,"Group C는 유지됐으나 table_factual/table15 부족","C:\Users\UserK\Downloads\중급프로젝트\rag_outputs\phase2_runs\p2_true_table_ocr_v4_exact_v1\true_table_ocr_v4_exact_compare.csv"
true_table_ocr,true_table_ocr_v4,full45,4.4389,4.1000,3.2500,4.1000,3.7833,1.0000,,,,30.1500,13,baseline_v3_candidate,"table_factual exact mode와 structured evidence로 full45/table15 개선","C:\Users\UserK\Downloads\중급프로젝트\rag_outputs\phase2_runs\p2_true_table_ocr_v4_exact_v1\true_table_ocr_v4_exact_compare.csv"
soft_crag,baseline_v3_soft_off,full45,4.4111,4.3000,,3.9500,,0.9000,,,,27.5300,,reference,"Soft CRAG-lite off 기준","C:\Users\UserK\Downloads\중급프로젝트\rag_outputs\phase2_runs\p2_soft_crag_lite_compare_v1\soft_crag_lite_compare.csv"
soft_crag,soft_crag_targeted,full45,4.3889,4.1750,,4.0500,,1.0000,,,,23.5500,12,hold,"GroupC/Type4/latency는 개선됐으나 overall/Type2 하락","C:\Users\UserK\Downloads\중급프로젝트\rag_outputs\phase2_runs\p2_soft_crag_lite_compare_v1\soft_crag_lite_compare.csv"
answer_type_router,router_v2_thr056,smoke20,0.9500,,,,,,,,,,adopted_minimal,"20문항 exact 19/20, confidence threshold 0.56, fallback comparison_safe","C:\Users\UserK\Downloads\중급프로젝트\rag_outputs\phase2_runs\p2_answer_type_router_smoke_v2_thr056\answer_type_router_smoke_summary.json"
