question_id,type_group,answer_type,question,dense_top1_file,sparse_top1_file
Q13,TYPE 2,comparison,고려대학교 차세대 포털·학사 정보시스템 사업이랑 광주과학기술원 학사시스템 기능개선 사업을 비교해줘.,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,광주과학기술원_학사시스템 기능개선 사업.hwp
Q14,TYPE 2,comparison,교육·학습 관련 시스템을 발주한 기관들을 전부 찾아서 사업명과 예산을 정리해줘.,한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선.hwp,국민연금공단_2024년 이러닝시스템 운영 용역.hwp
Q15,TYPE 2,comparison,한국수자원공사가 발주한 사업들을 모두 찾아서 사업명과 예산을 비교해줘.,(사）한국대학스포츠협의회_KUSF 체육특기자 경기기록 관리시스템 개발.hwp,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf
Q16,TYPE 2,comparison,10억 원 이상 예산 규모의 사업들을 찾아서 기관명과 예산을 내림차순으로 정리해줘.,국방과학연구소_기록관리시스템 통합 활용 및 보안 환경 구축.hwp,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf
Q17,TYPE 2,comparison,ERP 시스템 관련 사업을 발주한 기관들을 찾아서 비교해줘.,부산관광공사_경영정보시스템 기능개선.hwp,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf
Q18,TYPE 2,comparison,국제협력이나 해외 사업을 포함한 RFP를 모두 찾아줘. 어떤 나라 관련인지도 같이 알려줘.,사단법인아시아물위원회사무국_우즈벡-키르기즈스탄 기후변화대응 스.hwp,서울특별시_2024년 지도정보 플랫폼 및 전문활용 연계 시스템 고도화 용.pdf
Q19,TYPE 2,comparison,AI나 인공지능 기술을 명시적으로 요구하는 사업들을 찾아서 정리해줘.,"서울특별시 여성가족재단_(재공고, 협상) 서울 디지털성범죄 안심지원센.hwp",고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf
Q20,TYPE 2,comparison,2025년 이후 입찰 마감인 사업들을 찾아서 사업명과 마감일을 정리해줘.,재단법인경기도일자리재단_2025년 통합접수시스템 운영.hwp,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf
Q21,TYPE 2,comparison,인천광역시 관련 기관이 발주한 사업들을 모두 찾아줘.,인천광역시_도시계획위원회 통합관리시스템 구축용역.hwp,축산물품질평가원_꿀 품질평가 전산시스템 기능개선 사업.hwp
Q23,TYPE 3,factual,국민연금공단이 발주한 이러닝시스템 관련 사업 요구사항을 정리해줘.,한국농수산식품유통공사_농산물가격안정기금 정부예산회계연계시스템 .hwp,국민연금공단_2024년 이러닝시스템 운영 용역.hwp
Q24,TYPE 3,follow_up,콘텐츠 개발 관리 요구사항에 대해서 더 자세히 알려줘.,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,국민연금공단_2024년 이러닝시스템 운영 용역.hwp
Q25,TYPE 3,follow_up,교육이나 학습 관련해서 다른 기관이 발주한 사업은 없나?,한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선.hwp,전북대학교_JST 공유대학(원) xAPI기반 LRS시스템 구축.hwp
Q27,TYPE 3,follow_up,그럼 모니터링 업무에 대한 요청사항이 있는지 찾아보고 알려줘.,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,기초과학연구원_2025년도 중이온가속기용 극저온시스템 운전 용역.pdf
Q28,TYPE 3,comparison,고려대학교 차세대 포털 시스템 사업이랑 광주과학기술원의 학사 시스템 기능개선 사업을 비교해줄래?,광주과학기술원_학사시스템 기능개선 사업.hwp,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf
Q29,TYPE 3,follow_up,고려대학교랑 광주과학기술원 각각 응답 시간에 대한 요구사항이 있나? 문서를 기반으로 정확하게 답변해줘.,서영대학교 산학협력단_전문대학 혁신지원사업 서영대학교 차세대 교육.hwp,대검찰청_아태 사이버범죄 역량강화 허브(APC-HUB) 홈페이지 및 온라인 교.hwp
Q30,TYPE 3,follow_up,두 사업 중에 예산 대비 구축 범위가 더 넓어 보이는 곳이 어디야?,한국수출입은행_(긴급) 모잠비크 마푸토 지능형교통시스템(ITS) 구축사업.hwp,기초과학연구원_2025년도 중이온가속기용 극저온시스템 운전 용역.pdf
Q32,TYPE 3,follow_up,이 사업에서 외부 시스템과의 연계 요구사항이 있어?,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,한국발명진흥회 입찰공고_2024년 건설기술에 관한 특허·실용신안 활용실.hwp
Q33,TYPE 3,comparison,ERP 시스템을 구축하는 사업들을 찾아서 어떤 기관들이 있는지 알려줘.,전북특별자치도 정읍시_정읍체육트레이닝센터 통합운영관리시스템 구.hwp,세종테크노파크_세종테크노파크 인사정보 전산시스템 구축 용역 입찰공.hwp
Q37,TYPE 4,,국민연금공단 이러닝 사업에서 실제 납품이 완료됐어?,한국철도공사 (용역)_[재공고][긴급][협상형]운행정보기록 자동분석시스.hwp,국민연금공단_2024년 이러닝시스템 운영 용역.hwp
Q39,TYPE 4,,한국가스공사 ERP 구축에 참여한 컨소시엄 구성이 어떻게 됐어?,한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축.hwp,한국연구재단_2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선.hwp
Q41,TYPE 4,,광주과학기술원 학사시스템 사업을 수주한 업체 이름이 뭐야?,재단법인 광주연구원_광주정책연구아카이브(GPA) 시스템 개발.hwp,광주과학기술원_학사시스템 기능개선 사업.hwp
